year;date;count;total_count;ratio;google_trends;day_index
2016;26/12/2015;0;2413;0.0;0;1
2016;27/12/2015;0;2616;0.0;0;2
2016;28/12/2015;0;3609;0.0;0;3
2016;29/12/2015;0;3894;0.0;0;4
2016;30/12/2015;0;3976;0.0;0;5
2016;31/12/2015;0;3533;0.0;0;6
2016;01/01/2016;0;2730;0.0;0;7
2016;02/01/2016;0;2561;0.0;0;8
2016;03/01/2016;0;2627;0.0;0;9
2016;04/01/2016;1;4557;0.0002194426157559;100;10
2016;05/01/2016;1;5037;0.0001985308715505;0;11
2016;06/01/2016;0;5087;0.0;0;12
2016;07/01/2016;0;5130;0.0;0;13
2016;08/01/2016;0;5212;0.0;0;14
2016;09/01/2016;0;3660;0.0;0;15
2016;10/01/2016;0;3347;0.0;0;16
2016;11/01/2016;0;5244;0.0;0;17
2016;12/01/2016;0;5390;0.0;0;18
2016;13/01/2016;0;5397;0.0;0;19
2016;14/01/2016;0;5522;0.0;0;20
2016;15/01/2016;0;5418;0.0;0;21
2016;16/01/2016;0;3640;0.0;0;22
2016;17/01/2016;0;3360;0.0;0;23
2016;18/01/2016;0;5117;0.0;0;24
2016;19/01/2016;0;5645;0.0;0;25
2016;20/01/2016;0;5440;0.0;0;26
2016;21/01/2016;0;5557;0.0;0;27
2016;22/01/2016;0;5706;0.0;0;28
2016;23/01/2016;0;3633;0.0;0;29
2016;24/01/2016;0;3408;0.0;0;30
2016;25/01/2016;0;5433;0.0;0;31
2016;26/01/2016;0;5511;0.0;87;32
2016;27/01/2016;0;6050;0.0;0;33
2016;28/01/2016;0;5783;0.0;0;34
2016;29/01/2016;0;5850;0.0;0;35
2016;30/01/2016;0;3655;0.0;0;36
2016;31/01/2016;0;3401;0.0;0;37
2016;01/02/2016;0;5543;0.0;0;38
2016;02/02/2016;0;5652;0.0;0;39
2016;03/02/2016;0;5908;0.0;0;40
2016;04/02/2016;0;5654;0.0;0;41
2016;05/02/2016;0;5796;0.0;0;42
2016;06/02/2016;0;3763;0.0;0;43
2017;26/12/2016;0;2948;0.0;0;1
2017;27/12/2016;0;3089;0.0;0;2
2017;28/12/2016;0;3340;0.0;0;3
2017;29/12/2016;0;3471;0.0;0;4
2017;30/12/2016;0;3374;0.0;0;5
2017;31/12/2016;0;2099;0.0;0;6
2017;01/01/2017;1;3312;0.0003019323671497;100;7
2017;02/01/2017;0;3856;0.0;0;8
2017;03/01/2017;0;4471;0.0;0;9
2017;04/01/2017;0;4748;0.0;0;10
2017;05/01/2017;0;4694;0.0;0;11
2017;06/01/2017;0;4939;0.0;86;12
2017;07/01/2017;0;3179;0.0;0;13
2017;08/01/2017;0;3069;0.0;0;14
2017;09/01/2017;0;4951;0.0;0;15
2017;10/01/2017;0;5156;0.0;0;16
2017;11/01/2017;0;5361;0.0;0;17
2017;12/01/2017;0;5336;0.0;0;18
2017;13/01/2017;0;5474;0.0;0;19
2017;14/01/2017;0;3346;0.0;0;20
2017;15/01/2017;0;3191;0.0;0;21
2017;16/01/2017;0;4970;0.0;0;22
2017;17/01/2017;0;5288;0.0;0;23
2017;18/01/2017;0;5381;0.0;0;24
2017;19/01/2017;0;5313;0.0;0;25
2017;20/01/2017;0;5507;0.0;0;26
2017;21/01/2017;0;3472;0.0;0;27
2017;22/01/2017;0;3785;0.0;0;28
2017;23/01/2017;0;4954;0.0;0;29
2017;24/01/2017;0;6013;0.0;0;30
2017;25/01/2017;0;5342;0.0;0;31
2017;26/01/2017;0;5291;0.0;92;32
2017;27/01/2017;0;5129;0.0;0;33
2017;28/01/2017;0;3251;0.0;0;34
2017;29/01/2017;0;3822;0.0;0;35
2017;30/01/2017;0;4953;0.0;0;36
2017;31/01/2017;0;5208;0.0;0;37
2017;01/02/2017;0;5364;0.0;65;38
2017;02/02/2017;0;4963;0.0;0;39
2017;03/02/2017;0;5313;0.0;0;40
2017;04/02/2017;0;3110;0.0;76;41
2017;05/02/2017;1;3062;0.0003265839320705;0;42
2017;06/02/2017;0;4777;0.0;0;43
2018;26/12/2017;0;4098;0.0;0;1
2018;27/12/2017;0;4709;0.0;40;2
2018;28/12/2017;0;4458;0.0;0;3
2018;29/12/2017;0;4561;0.0;47;4
2018;30/12/2017;0;2250;0.0;0;5
2018;31/12/2017;0;2206;0.0;0;6
2018;01/01/2018;0;4362;0.0;59;7
2018;02/01/2018;0;4576;0.0;63;8
2018;03/01/2018;0;5117;0.0;42;9
2018;04/01/2018;0;5574;0.0;46;10
2018;05/01/2018;0;5695;0.0;0;11
2018;06/01/2018;0;3918;0.0;0;12
2018;07/01/2018;3;3577;0.0008386916410399;0;13
2018;08/01/2018;1;5980;0.0001672240802675;100;14
2018;09/01/2018;0;6059;0.0;50;15
2018;10/01/2018;0;5669;0.0;0;16
2018;11/01/2018;0;6217;0.0;0;17
2018;12/01/2018;0;6233;0.0;0;18
2018;13/01/2018;0;4396;0.0;0;19
2018;14/01/2018;0;4301;0.0;0;20
2018;15/01/2018;1;6324;0.0001581277672359;0;21
2018;16/01/2018;0;6514;0.0;0;22
2018;17/01/2018;0;6591;0.0;0;23
2018;18/01/2018;0;6106;0.0;0;24
2018;19/01/2018;0;5622;0.0;0;25
2018;20/01/2018;0;3944;0.0;0;26
2018;21/01/2018;0;3667;0.0;0;27
2018;22/01/2018;0;5801;0.0;0;28
2018;23/01/2018;0;6082;0.0;0;29
2018;24/01/2018;0;6034;0.0;0;30
2018;25/01/2018;0;5688;0.0;0;31
2018;26/01/2018;0;5854;0.0;0;32
2018;27/01/2018;0;4159;0.0;0;33
2018;28/01/2018;0;3812;0.0;0;34
2018;29/01/2018;0;5651;0.0;0;35
2018;30/01/2018;0;6480;0.0;0;36
2018;31/01/2018;0;6275;0.0;0;37
2018;01/02/2018;0;6128;0.0;0;38
2018;02/02/2018;0;6170;0.0;0;39
2018;03/02/2018;0;3981;0.0;0;40
2018;04/02/2018;0;3852;0.0;0;41
2018;05/02/2018;0;5713;0.0;0;42
2018;06/02/2018;0;6241;0.0;0;43
2019;26/12/2018;0;4339;0.0;0;1
2019;27/12/2018;0;4910;0.0;0;2
2019;28/12/2018;0;5180;0.0;0;3
2019;29/12/2018;0;3870;0.0;0;4
2019;30/12/2018;1;3374;0.0002963841138114;0;5
2019;31/12/2018;5;4499;0.0011113580795732;12;6
2019;01/01/2019;2;3618;0.0005527915975677;25;7
2019;02/01/2019;22;5298;0.0041525103812759;43;8
2019;03/01/2019;35;6040;0.0057947019867549;100;9
2019;04/01/2019;12;5975;0.0020083682008368;85;10
2019;05/01/2019;6;4483;0.0013383894713361;54;11
2019;06/01/2019;1;4286;0.0002333177788147;41;12
2019;07/01/2019;4;6842;0.0005846243788365;31;13
2019;08/01/2019;6;6858;0.0008748906386701;29;14
